text,label
"Add 'Client Proposal Deadline' for next Friday",Add
"Book 'Theater Tickets' event for Saturday night",Add
"Schedule 'Architecture Review' meeting for Thursday 1 PM",Add
"Update the 'Sprint Review' time to 3 PM",Edit
"Move the 'Code Deployment' to after business hours",Edit
"Reschedule the '1-on-1 with Direct Report'",Edit
"Cancel the 'Language Exchange Meetup'",Remove
"Delete the 'Research Competitors' task",Remove
"Remove the 'Evening Walk' event",Remove
"Add 'Submit Timesheet' reminder for Friday 4 PM",Add
"Set reminder: 'Pick up kids from school' daily at 3 PM",Add
"Schedule 'Meeting with Vendor' for Tuesday 11:30 AM",Add
"Change the 'Team Stand-up' duration to 15 minutes",Edit
"Adjust the 'Client Check-in Call' schedule",Edit
"Update the dial-in info for the 'Investor Relations Call'",Edit
"Cancel the 'Pottery Class' session",Remove
"Delete the 'Clean Desk' reminder",Remove
"Remove the 'Group Study Session'",Remove
"Add 'Plan Birthday Party' task for next week",Add
"Book 'Annual Physical Exam' for September 1st",Add
"Schedule 'User Feedback Session' for Friday afternoon",Add
"Reschedule the 'Content Planning Meeting'",Edit
"Move the 'Data Migration' task to the weekend",Edit
"Change the recurring 'Bill Payment Reminder' date",Edit
"Cancel the 'Company Town Hall' event",Remove
"Delete the 'Review Meeting Minutes' task",Remove
"Remove the 'Bike Ride' event for Sunday",Remove
"Add 'Performance Review Self-Assessment' deadline",Add
"Set up 'Game Night with Friends' for Saturday 8 PM",Add
"Schedule 'Technical Deep Dive' session for Wednesday 10 AM",Add
"Update the 'Product Roadmap Meeting' agenda",Edit
"Shift the 'Maintenance Window' earlier",Edit
"Reschedule the 'Job Interview (Candidate C)'",Edit
"Cancel the 'Team Offsite Planning Meeting'",Remove
"Delete the 'Send Thank You Notes' reminder",Remove
"Remove the 'Morning Yoga' routine",Remove
"Add 'Finalize Report' task for Thursday EOD",Add
"Book 'Hotel Reservation' for conference next month",Add
"Schedule 'Meeting with New Client' for Monday 9 AM, remind me 30 mins prior",Add
"Change the 'Design Sprint' dates",Edit
"Move the 'Weekly Sync with Manager' to Friday",Edit
"Update the location for 'Team Lunch' to 'Park Cafe'",Edit
"Cancel the 'Webinar Attendance' event",Remove
"Delete the 'Check Voicemail' reminder",Remove
"Remove the 'Creative Writing' block",Remove
"Add 'Submit Vacation Request' task",Add
"Set reminder: 'Charge electric car' tonight",Add
"Schedule 'Demo Prep Meeting' for tomorrow 1 PM",Add
"Reschedule the 'Budget Approval Meeting'",Edit
"Adjust the time for the 'Cross-functional Sync'",Edit
"Change the link for the 'Virtual Coffee Chat'",Edit
"Cancel the 'Industry Conference Call'",Remove
"Delete the 'Backup Hard Drive' reminder",Remove
"Remove the 'Evening Jog' from schedule",Remove
"Add 'Client Follow-up Call' for Tuesday 3:30 PM",Add
"Book 'Train Ticket' for trip next week",Add
"Schedule 'Onboarding Session - New Tools' for Thursday",Add
"Update the 'Sprint Planning' participants",Edit
"Move the 'System Test Phase' start date",Edit
"Reschedule the 'Candidate Interview Debrief'",Edit
"Cancel the 'Alumni Networking Event'",Remove
"Delete the 'Review Code Submissions' task",Remove
"Remove the 'Weekend Project Work' block",Remove
"Add 'Doctor Visit - Annual Checkup' May 20th 9am",Add
"Remind me to 'File Taxes' before April 15th",Add
"Put 'Coffee Chat with Sarah' on calendar for Wed 8:30 AM",Add
"Change 'Team Meeting' on Tuesday to 10 AM",Edit
"Move 'Project Alpha Kickoff' to next Monday",Edit
"Reschedule 'Client Demo' from 2 PM to 3 PM",Edit
"Cancel 'Lunch with Mark' tomorrow",Remove
"Delete 'Reminder: Submit Report'",Remove
"Remove 'Gym Session' scheduled for Friday morning",Remove
"Schedule 'Interview Prep' block for Thursday afternoon",Add
"Add 'Pay electricity bill' reminder for the 25th",Add
"Book 'Dinner Reservation' for 2 at 'The Italian Place' Saturday 7pm",Add
"Update the time for the 'All-Hands Call' next week",Edit
"Shift 'Code Review with Team Lead' to tomorrow 11 AM",Edit
"Move the 'Deployment Checkpoint' meeting",Edit
"Cancel the 'Yoga class' on Wednesday evening",Remove
"Erase the 'Call back recruiter' reminder",Remove
"Please remove the 'Volunteer shift' for Sunday",Remove
"Set up a 'Planning Session' for the Q3 roadmap next Friday",Add
"Add 'Grocery Shopping' to my list for Saturday morning",Add
"Create event: 'Presentation Practice' Tuesday 4pm",Add
"Modify the 'Client Check-in' call recurrence to bi-weekly",Edit
"Adjust the 'Sprint Retro' time slot to 3:30 PM",Edit
"Push back the 'Feature Launch Date' event by one week",Edit
"Remove the 'Book Club' meeting for this month",Remove
"Delete the 'Water office plant' reminder",Remove
"Cancel the 'Team building lunch' scheduled next week",Remove
"Schedule '1:1 with Maya' for Monday 2:30 PM",Add
"Add reminder: 'Renew car registration' by end of month",Add
"Book 'Flight LAX to JFK' Aug 10th",Add
"Change the location of 'Interview - John Doe' to Room C",Edit
"Reschedule 'Financial Planning Meeting' to June 5th",Edit
"Move 'Weekly Status Update' meeting to 9 AM",Edit
"Cancel 'Doctor Appointment' on the 15th",Remove
"Delete 'Task: Follow up on email thread'",Remove
"Remove 'Meditation block' from calendar",Remove
"Set a reminder to 'Confirm hotel booking' tomorrow",Add
"Add 'Prepare Q1 Report' task due next Friday",Add
"Schedule 'Coffee meeting' with potential partner next Mon 10 AM",Add
"Update the description for 'Project Zeta Sync'",Edit
"Shift the 'Server Maintenance' window to Sunday morning",Edit
"Reschedule the 'User Acceptance Testing' phase",Edit
"Please cancel the 'Conference ticket purchase' reminder",Remove
"Delete the 'Charge Fitbit' reminder",Remove
"Remove the 'Language lesson' for Tuesday",Remove
"Add 'Team Brainstorming Session' Wed 1pm Conf Room B",Add
"Book 'Haircut' for Sat 11:30 AM",Add
"Schedule 'Call with support vendor' Fri 9am PST",Add
"Change 'Design Review' meeting owner to Emily",Edit
"Move the 'Database backup' schedule to nightly",Edit
"Update the Webex link for 'Remote Team Building'",Edit
"Cancel the 'Gym membership renewal' reminder",Remove
"Delete 'Organize cloud storage' task",Remove
"Remove the 'Morning walk' event for tomorrow",Remove
"Add 'Client Proposal Presentation' Thurs 2pm",Add
"Set reminder: 'Buy anniversary gift' before the 18th",Add
"Schedule 'Quarterly Performance Review' with manager",Add
"Reschedule the 'Code Freeze milestone' event",Edit
"Adjust the time for the 'Investor Demo'",Edit
"Change the recurring 'Team Social Hour' to monthly",Edit
"Cancel the 'Volunteer event signup' reminder",Remove
"Delete the 'Check tire pressure' reminder",Remove
"Remove the 'Study Japanese' block",Remove
"Add 'Finalize presentation slides' task for Mon morning",Add
"Book 'Annual Eye Exam' for July 1st 3pm",Add
"Schedule 'Interview Candidate Jane Smith' Wed 10am Zoom",Add
"Update the location for the 'Company All Hands' to Auditorium",Edit
"Shift the 'Release Rollout' plan",Edit
"Reschedule the 'Product Strategy Meeting'",Edit
"Cancel the 'Subscription for Service X' reminder",Remove
"Delete the 'Plan weekend activities' task",Remove
"Remove the 'Evening coding practice' session",Remove
"Add 'Meet with Financial Advisor' next Tuesday 4pm",Add
"Set up 'Family video call' Sunday 11 AM EST",Add
"Schedule 'Review marketing copy' task for tomorrow",Add
"Change the title of the 'Sync Meeting' to 'Project Apollo Sync'",Edit
"Move the 'Happy Hour' start time to 5:30 PM",Edit
"Update the attendee list for 'Board Strategy Session'",Edit
"Cancel the 'Training workshop enrollment' reminder",Remove
"Delete the 'Take vitamins' reminder",Remove
"Remove the 'Yoga session' scheduled for tonight",Remove
"Add 'Submit Insurance Claim' task by Friday",Add
"Book 'Veterinarian Appointment' for Fido next Mon 9:30 AM",Add
"Schedule 'Candidate Debrief - Round 1' Thurs 11am",Add
"Reschedule the 'Sales Kickoff Meeting'",Edit
"Move the 'System Patching window' to Saturday",Edit
"Change frequency of 'Check backups' reminder to daily",Edit
"Cancel the 'Art gallery visit' plan",Remove
"Delete the 'Read chapter 5' task",Remove
"Remove the 'Guitar practice' block",Remove
"Add 'Client contract signature deadline' May 31st",Add
"Set reminder: 'Confirm flight details' for trip",Add
"Schedule 'Monthly Business Review' for first Friday 10am",Add
"Update meeting notes link in 'Project Planning' event",Edit
"Adjust 'Client Training Session' time",Edit
"Reschedule 'Team Photo Day'",Edit
"Cancel 'Call with logistics partner'",Remove
"Delete 'Update LinkedIn profile' task",Remove
"Remove 'Morning run' scheduled for 7:30 AM",Remove
"Add 'Staff Training Session' tomorrow 10 AM Training Room 1",Add
"Book 'Weekend trip to mountains' placeholder",Add
"Schedule 'Draft blog post' task for Wednesday afternoon",Add
"Change 'Project Gamma Review' to include QA team",Edit
"Move the 'Security Patch deployment' date",Edit
"Update the Google Meet link for 'Virtual Team Lunch'",Edit
"Cancel 'Networking breakfast registration'",Remove
"Delete 'Organize bookshelf' reminder",Remove
"Remove 'Book writing session' from calendar",Remove
"Add 'Car inspection appointment' Saturday 9 AM",Add
"Set up 'Call with sister' Sunday afternoon",Add
"Schedule 'Review PRD document' task for Friday",Add
"Reschedule 'Doctor check-up'",Edit
"Shift 'Focus time block' earlier by 1 hour",Edit
"Change location for 'Candidate Interview feedback session' to online",Edit
"Cancel 'Team Bowling Night'",Remove
"Delete 'Pay rent reminder'",Remove
"Remove 'Afternoon walk' event",Remove
"Add 'Client report deadline' next Wednesday",Add
"Book 'Concert tickets' event for Friday night",Add
"Schedule 'Infrastructure Planning' meeting Thursday 3 PM",Add
"Update 'Sprint Demo' time to 4 PM",Edit
"Move 'Software Update rollout' to non-peak hours",Edit
"Reschedule '1-on-1 with Bob'",Edit
"Cancel 'Language tutor session'",Remove
"Delete 'Research vacation destinations' task",Remove
"Remove 'Evening meditation' event",Remove
"Add 'Submit expense approval' reminder for Thursday 5 PM",Add
"Set reminder: 'Pick up dry cleaning' Friday after 5 PM",Add
"Schedule 'Meeting with new supplier' Tuesday 10:30 AM",Add
"Change 'Daily Stand-up' duration to 10 minutes",Edit
"Adjust 'Client onboarding schedule'",Edit
"Update dial-in number for 'Quarterly Results Call'",Edit
"Cancel 'Museum visit' plan",Remove
"Delete 'Clean keyboard' reminder",Remove
"Remove 'Group workout session'",Remove
"Add 'Plan team offsite agenda' task for next week",Add
"Book 'Annual dentist appointment' for October 5th",Add
"Schedule 'User interview session' Friday 11 AM",Add
"Reschedule 'Marketing strategy meeting'",Edit
"Move 'Data center maintenance' to next weekend",Edit
"Change recurring 'Pay bills reminder' date to 28th",Edit
"Cancel 'Company holiday party planning meeting'",Remove
"Delete 'Review presentation feedback' task",Remove
"Remove 'Bike maintenance' event for Saturday",Remove
"Add 'Performance goals discussion' with manager deadline",Add
"Set up 'Movie night at home' for Friday 9 PM",Add
"Schedule 'Security audit review' meeting Wednesday 11 AM",Add
"Update 'Product launch checklist meeting' agenda",Edit
"Shift 'System upgrade window' earlier in the day",Edit
"Reschedule 'Job Interview (Candidate Patel)'",Edit
"Cancel 'Team volunteer day planning'",Remove
"Delete 'Send birthday card' reminder",Remove
"Remove 'Morning journaling' routine",Remove
"Add 'Finalize budget proposal' task for Tuesday EOD",Add
"Book 'Spa appointment' for relaxation next month",Add
"Schedule 'Meeting with potential investor' Monday 11 AM, remind me 1 hour before",Add
"Change 'Design critique session' dates",Edit
"Move 'Weekly report submission time' to Friday noon",Edit
"Update location for 'Team strategy session' to 'Offsite Venue X'",Edit
"Cancel 'Webinar registration reminder'",Remove
"Delete 'Check email backlog' reminder",Remove
"Remove 'Creative brainstorming' block",Remove
"Add 'Submit conference abstract' task deadline",Add
"Set reminder: 'Charge headphones' before gym",Add
"Schedule 'Sales demo practice' for tomorrow 2 PM",Add
"Reschedule 'Audit committee meeting'",Edit
"Adjust time for 'Global team sync' call",Edit
"Change link for 'Online yoga class'",Edit
"Cancel 'Industry meetup attendance'",Remove
"Delete 'Backup photos' reminder",Remove
"Remove 'Evening reading time' from schedule",Remove
"Add 'Client contract renewal discussion' Tuesday 4:30 PM",Add
"Book 'Train ticket to Boston' for next month's conference",Add
"Schedule 'Onboarding buddy check-in' for Thursday morning",Add
"Update 'Sprint retrospective' participants list",Edit
"Move 'System integration testing' start date forward",Edit
"Reschedule 'Candidate final round interview'",Edit
"Cancel 'Alumni committee meeting'",Remove
"Delete 'Review competitor website' task",Remove
"Remove 'Weekend coding project' block",Remove
